Included,MaleRatioDiff>20,Paper,SS,SS_overlap,SubSample,keep,missing,RT/accuracy,Study,Authors,comment,todo,Included in Bediou et al 2018,New,Publication_type,Year,VGP_criteria,NVGP_criteria,Game_genre,Age_group,Recruitment,Lab,Cognitive_domain,SubDomain,Task,Measure,Effect,DV_type,Data_source,nExp,nCtl,males_AVGP,males_NVGP,MaleRatioDiff,g_source,Cohen's d,d_var,J,g,g_var
excluded,#VALUE!,4,5,5,,NA,NA,NA,BAILEY THESIS-CHAP2 Study 1 - 2012,"Bailey, K.",NA,NA,1,NA,unpublished,2012,"NO AVGP group (violent gamers ans nonviolent gamers), but questions asked about game habits","Criteria for NVGP group is not explicited in the thesis, group average h/week is 2.9 (SD = 7.9), but questions asked about game habits",FPS,Younger adults,Overt,Other,top-down attention,top-down attention,UFOV,Main effect : accuracy,main,accuracy,Cf pdf sent by author,34,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
excluded,#VALUE!,4,5,5,,NA,NA,NA,BAILEY THESIS-CHAP2 Study 1 - 2012,"Bailey, K.",exclude?,NA,1,NA,unpublished,2012,"NO AVGP group (violent gamers ans nonviolent gamers), but questions asked about game habits","Criteria for NVGP group is not explicited in the thesis, group average h/week is 2.9 (SD = 7.9), but questions asked about game habits",FPS,Younger adults,Overt,Other,inhibition,inhibition,Stop-signal task,Main effect : Average stop signal reaction time SSRT (mean RT - mean SSD),interaction,speed,Cf pdf sent by author,34,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
excluded,#VALUE!,4,5,5,,NA,NA,NA,BAILEY THESIS-CHAP2 Study 1 - 2012,"Bailey, K.","Dans l'ancienne MA, on avait gardé SSRT et UFOV accuracy. Est-ce qu'on veut SSRT et SSD ?",NA,1,NA,unpublished,2012,"NO AVGP group (violent gamers ans nonviolent gamers), but questions asked about game habits","Criteria for NVGP group is not explicited in the thesis, group average h/week is 2.9 (SD = 7.9), but questions asked about game habits",FPS,Younger adults,Overt,Other,inhibition,inhibition,Stop-signal task,Main effect : Average stop signal delay SSD,interaction,speed,Not in the Thesis. Not in the pdf sent by author,34,55,NA,NA,NA,NA,NA,NA,NA,NA,NA
excluded,0,6,6,6,same participants as in THESIS CHAP3 Study 2?,NA,NA,NA,"Bailey, West & Anderson 2010-","Bailey, K., West, R., & Anderson, C.A.",excluded hours VG,NA,1,NA,published,2010,"media usage questionnaire - high gamers (M=43.4 hours per week, SD=16.0); high gamers (M=2.44, SD=0.83) reported more experience with action games than the low gamers (M=1.28, SD=0.34)","media usage questionnaire - low gamers (M=1.76 hours per week, SD=4.75)",ALL but more action,Younger adults,Covert,Other,inhibition/PROACTIVE CONTROL,inhibition/PROACTIVE CONTROL,Stroop (short & long RSI),Interference: accuracy (incongruent - congruent),interaction,accuracy,F from paper. Computations from table 1 : variance a-b = variance a + variance b,25,26,1,1,0,NA,NA,NA,NA,NA,NA
excluded,0,6,6,6,same participants as in THESIS CHAP3 Study 2?,NA,NA,NA,"Bailey, West & Anderson 2010-","Bailey, K., West, R., & Anderson, C.A.",excluded hours VG,NA,1,NA,published,2010,"media usage questionnaire - high gamers (M=43.4 hours per week, SD=16.0); high gamers (M=2.44, SD=0.83) reported more experience with action games than the low gamers (M=1.28, SD=0.34)","media usage questionnaire - low gamers (M=1.76 hours per week, SD=4.75)",ALL but more action,Younger adults,Covert,Other,inhibition/PROACTIVE CONTROL,inhibition/PROACTIVE CONTROL,Stroop (short & long RSI),Interference: RT (incongruent - congruent),interaction,speed,Computations from table 1 : Computations from table 1 : variance a-b = variance a + variance b,25,26,1,1,0,NA,NA,NA,NA,NA,NA
included,0,7,7,7,,NA,accuracy,4,"Bavelier, Achtman, Mani & Focker 2012-","Bavelier, D., Achtman, R.L., Mani, M., & Föcker, J.",NS in paper,NA,1,NA,published,2012,a minimum of 5 h per week (on average) of action video game play over the previous year.,"NVGP was one or less hours per week of action video game play over the previous year. (Note that some NVGPs did play other kinds of games, such as board games, puzzle games, card games, strategy games or social games)",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,Target discrimination (Low vs High Load x Central vs Peripheral distractors),Main effect: accuracy,main,accuracy,In the paper : NS,12,12,1,1,0,NA,NA,NA,NA,NA,NA
included,0,7,7,7,,1,NA,4,"Bavelier, Achtman, Mani & Focker 2012-","Bavelier, D., Achtman, R.L., Mani, M., & Föcker, J.","le N est marqué 14 dans le MA_data, total = 26 dans MA_data_ERRATUM, 12 dans le ES_computation et dans le papier : Two of the 14 NVGPs did not meet our performance criteria, leaving 12 NVGPs and 12 VGPs who were scanned --> CORRECTION N=12",NA,1,NA,published,2012,a minimum of 5 h per week (on average) of action video game play over the previous year.,"NVGP was one or less hours per week of action video game play over the previous year. (Note that some NVGPs did play other kinds of games, such as board games, puzzle games, card games, strategy games or social games)",NA,Younger adults,Overt,Bavelier,top-down attention,top-down attention,Target discrimination (Low vs High Load x Central vs Peripheral distractors),Main effect: RT,main,speed,NA,12,12,1,1,0,Ftest,1.341640786,0.204166667,0.965517241,1.295377311,0.190328973
included,0,8,8,8,,1,NA,NA,"Bavelier, Cohen, Shannon 2006 personal comm.","Bavelier, D., Cohen, J., & Bailey, S.",NA,NA,1,NA,unpublished,2006,Bavelier Lab criteria,Bavelier Lab criteria,NA,Younger adults,Overt,Bavelier,verbal cognition,verbal cognition,OSPAN,Main effect : ospan score,main,accuracy,Personnal comm. Data from ppt + excel from author,12,9,1,1,0,MeanSD,0.243807525,0.195859733,0.96,0.234055224,0.18050433
included,0,9,9,9,,1,NA,NA,Bejjanki et al. 2014-EXP1,"Bejjanki, V. R., Zhang, R., Li, R., Pouget, A., Green, C. S., Lu, Z. L., & Bavelier, D.",NA,NA,1,NA,published,2014,Participants who reported playing at least 5 h of action video games per week during the past year were,Participants who had little to no action video game experience (less than 1 h per week) during the past year were classified as NVGP,NA,Younger adults,Overt,Bavelier,perception,perception,Orientation Identification,Main effect: contrast threshold,main,accuracy,NA,10,10,1,1,0,Ftest,1.078888317,0.2291,0.957746479,1.033301486,0.210148463
excluded,0.666666667,10,10,10,,1,NA,NA,"Berard, Cain, Watanabe & Sasaki 2015-","Berard, A. V., Cain, M. S., Watanabe, T., & Sasaki, Y.",NA,NA,1,NA,published,2015,"Frequent gamers were classified as those who participated in action video game playing at least 5 hours a week for a period of 6 months or more continuously (mean 5.64 hours/week, ± 1.88 SE).",played less than 1 hour a week in a given 6-month period (mean 0.32 hours/week ± 0.11 SEM).,NA,Younger adults,Overt,Other,perception,perception,Texture Discrimination Task,Main effect: 75% threshold SOA,NA,speed?,NA,9,9,0.777777778,0.111111111,0.666666667,NA,NA,NA,NA,NA,NA
